,Ensembl transcript ID that has SL with MS evidence
370,ENST00000392066
371,ENST00000338128
372,ENST00000416293
373,ENST00000246337
374,ENST00000422569
375,ENST00000395319
376,ENST00000402667
377,ENST00000244137
378,ENST00000252603
379,ENST00000290429
380,ENST00000280704
381,ENST00000559935
382,ENST00000381815
383,ENST00000543090
384,ENST00000449901
385,ENST00000603302
386,ENST00000319248
387,ENST00000455976
388,ENST00000565184
389,ENST00000510191
390,ENST00000323205
391,ENST00000345146
392,ENST00000437657
393,ENST00000607886
394,ENST00000290597
395,ENST00000367993
396,ENST00000373449
397,ENST00000403312
398,ENST00000304863
399,ENST00000402252
400,ENST00000226253
401,ENST00000338961
402,ENST00000216194
403,ENST00000541113
404,ENST00000380851
405,ENST00000392378
406,ENST00000302746
407,ENST00000621846
408,ENST00000559540
409,ENST00000216605
410,ENST00000323997
411,ENST00000513454
412,ENST00000524698
413,ENST00000292180
414,ENST00000392179
415,ENST00000282050
416,ENST00000557529
417,ENST00000536880
418,ENST00000265838
419,ENST00000467905
420,ENST00000398595
421,ENST00000301634
422,ENST00000164139
423,ENST00000563498
424,ENST00000366647
425,ENST00000393734
426,ENST00000539743
427,ENST00000320393
428,ENST00000538183
429,ENST00000356487
430,ENST00000468050
431,ENST00000503794
432,ENST00000467648
433,ENST00000381344
434,ENST00000528097
435,ENST00000348706
436,ENST00000445915
437,ENST00000438166
438,ENST00000415930
439,ENST00000544105
440,ENST00000553117
441,ENST00000615631
442,ENST00000558367
443,ENST00000566846
444,ENST00000405867
445,ENST00000563655
446,ENST00000480861
447,ENST00000381839
448,ENST00000545074
449,ENST00000592699
450,ENST00000590151
451,ENST00000232607
452,ENST00000613823
453,ENST00000465559
454,ENST00000440967
455,ENST00000480143
456,ENST00000582198
457,ENST00000003100
458,ENST00000491621
459,ENST00000281182
460,ENST00000381809
461,ENST00000637657
462,ENST00000274813
463,ENST00000623063
464,ENST00000617470
465,ENST00000233616
466,ENST00000264220
467,ENST00000485460
468,ENST00000233114
469,ENST00000304567
470,ENST00000233190
471,ENST00000372393
472,ENST00000535809
473,ENST00000575051
474,ENST00000461630
475,ENST00000430553
476,ENST00000378943
477,ENST00000449740
478,ENST00000576145
479,ENST00000358186
480,ENST00000422285
481,ENST00000538118
482,ENST00000375298
483,ENST00000539945
484,ENST00000313408
485,ENST00000539480
486,ENST00000379412
487,ENST00000479013
488,ENST00000621232
489,ENST00000565355
490,ENST00000361389
491,ENST00000608083
492,ENST00000342312
493,ENST00000429642
494,ENST00000340124
495,ENST00000462138
496,ENST00000400033
497,ENST00000584848
498,ENST00000306749
499,ENST00000548274
500,ENST00000470772
501,ENST00000496166
502,ENST00000377432
503,ENST00000590958
504,ENST00000503506
505,ENST00000359794
506,ENST00000393324
507,ENST00000506618
508,ENST00000496200
509,ENST00000458134
510,ENST00000450296
511,ENST00000553474
512,ENST00000264709
513,ENST00000348286
514,ENST00000432309
515,ENST00000591977
516,ENST00000457316
517,ENST00000393562
518,ENST00000262554
519,ENST00000511912
520,ENST00000579855
521,ENST00000551804
522,ENST00000490911
523,ENST00000525566
524,ENST00000337404
525,ENST00000518175
526,ENST00000526691
527,ENST00000396213
528,ENST00000589432
529,ENST00000535366
530,ENST00000281243
531,ENST00000450168
532,ENST00000548058
533,ENST00000435638
534,ENST00000296255
535,ENST00000394109
536,ENST00000380843
537,ENST00000545054
538,ENST00000216465
539,ENST00000304808
540,ENST00000248924
541,ENST00000448642
542,ENST00000264705
543,ENST00000625194
544,ENST00000567713
545,ENST00000445964
546,ENST00000545482
547,ENST00000238651
548,ENST00000415136
549,ENST00000446544
550,ENST00000394115
551,ENST00000295448
552,ENST00000595530
553,ENST00000553529
554,ENST00000369439
555,ENST00000397225
556,ENST00000393183
557,ENST00000396858
558,ENST00000619865
559,ENST00000377855
560,ENST00000325110
561,ENST00000251810
562,ENST00000409017
563,ENST00000420436
564,ENST00000336097
565,ENST00000370508
566,ENST00000567087
567,ENST00000335181
568,ENST00000613539
569,ENST00000539780
570,ENST00000285518
571,ENST00000456297
572,ENST00000636879
573,ENST00000636886
574,ENST00000581518
575,ENST00000507013
576,ENST00000542639
577,ENST00000340941
578,ENST00000487289
579,ENST00000398158
580,ENST00000551020
581,ENST00000334482
582,ENST00000446289
583,ENST00000619546
584,ENST00000428460
585,ENST00000263702
586,ENST00000503229
587,ENST00000371084
588,ENST00000616752
589,ENST00000337943
590,ENST00000539214
591,ENST00000568883
592,ENST00000380241
593,ENST00000327299
594,ENST00000359570
595,ENST00000620479
596,ENST00000376618
597,ENST00000455086
598,ENST00000372070
599,ENST00000223836
600,ENST00000545675
601,ENST00000376279
602,ENST00000627653
603,ENST00000393960
604,ENST00000338435
605,ENST00000442734
606,ENST00000414651
607,ENST00000520221
608,ENST00000570258
609,ENST00000374830
610,ENST00000396861
611,ENST00000553878
612,ENST00000613953
613,ENST00000394308
614,ENST00000315758
615,ENST00000429002
616,ENST00000371083
617,ENST00000261192
618,ENST00000359276
619,ENST00000460189
620,ENST00000519964
621,ENST00000370161
622,ENST00000351328
623,ENST00000325234
624,ENST00000409626
625,ENST00000539907
626,ENST00000351829
627,ENST00000455959
628,ENST00000510194
629,ENST00000507534
630,ENST00000510361
631,ENST00000337130
632,ENST00000561286
633,ENST00000546283
634,ENST00000298556
635,ENST00000265523
636,ENST00000614428
637,ENST00000472047
638,ENST00000309522
639,ENST00000473466
640,ENST00000394053
641,ENST00000435900
642,ENST00000457836
643,ENST00000415913
644,ENST00000541477
645,ENST00000439502
646,ENST00000338791
647,ENST00000530076
648,ENST00000596265
649,ENST00000367885
650,ENST00000569798
651,ENST00000399191
652,ENST00000583509
653,ENST00000303617
654,ENST00000354624
655,ENST00000265641
656,ENST00000423525
657,ENST00000530272
658,ENST00000378697
659,ENST00000373365
660,ENST00000264221
661,ENST00000338702
662,ENST00000545822
663,ENST00000393958
664,ENST00000535561
665,ENST00000216962
666,ENST00000233072
667,ENST00000205402
668,ENST00000371221
669,ENST00000432020
670,ENST00000264167
671,ENST00000530337
672,ENST00000380649
673,ENST00000495834
674,ENST00000557639
675,ENST00000402924
676,ENST00000379806
677,ENST00000637633
678,ENST00000549022
679,ENST00000505689
680,ENST00000419067
681,ENST00000393955
682,ENST00000576983
683,ENST00000228740
684,ENST00000359195
685,ENST00000544387
686,ENST00000613852
687,ENST00000398168
688,ENST00000497492
689,ENST00000269980
690,ENST00000557370
691,ENST00000497289
692,ENST00000496455
693,ENST00000578963
694,ENST00000348956
695,ENST00000497883
696,ENST00000374855
697,ENST00000409882
698,ENST00000542943
699,ENST00000324301
700,ENST00000399688
701,ENST00000395334
702,ENST00000528643
703,ENST00000372621
704,ENST00000467908
705,ENST00000397032
706,ENST00000407806
707,ENST00000216780
708,ENST00000540309
709,ENST00000523942
710,ENST00000333167
711,ENST00000637272
712,ENST00000395321
713,ENST00000551339
714,ENST00000570646
715,ENST00000290349
716,ENST00000529546
717,ENST00000541669
718,ENST00000381125
719,ENST00000637206
720,ENST00000554279
721,ENST00000629768
722,ENST00000493112
723,ENST00000619528
724,ENST00000443824
725,ENST00000013034
726,ENST00000222553
727,ENST00000175506
728,ENST00000382927
729,ENST00000448666
730,ENST00000491493
731,ENST00000367883
732,ENST00000457269
733,ENST00000587994
734,ENST00000487300
735,ENST00000424330
736,ENST00000244204
737,ENST00000261507
738,ENST00000613370
739,ENST00000329875
740,ENST00000380172
741,ENST00000590862
742,ENST00000357430
743,ENST00000321341
744,ENST00000381831
745,ENST00000377842
746,ENST00000374840
747,ENST00000368467
748,ENST00000540499
749,ENST00000545314
750,ENST00000506179
751,ENST00000244007
752,ENST00000372213
753,ENST00000580900
754,ENST00000437628
755,ENST00000396856
756,ENST00000350669
757,ENST00000637782
758,ENST00000317799
759,ENST00000504028
760,ENST00000367884
761,ENST00000619601
762,ENST00000405481
763,ENST00000626419
764,ENST00000381075
765,ENST00000254759
766,ENST00000357308
767,ENST00000491274
768,ENST00000353196
769,ENST00000340802
770,ENST00000545045
771,ENST00000488464
772,ENST00000370631
773,ENST00000370841
774,ENST00000430874
775,ENST00000368845
776,ENST00000468090
777,ENST00000508177
778,ENST00000299518
779,ENST00000512576
780,ENST00000421218
781,ENST00000559250
782,ENST00000617649
783,ENST00000557427
784,ENST00000554975
785,ENST00000581672
786,ENST00000327347
787,ENST00000373156
788,ENST00000619204
789,ENST00000300051
790,ENST00000525900
791,ENST00000359172
792,ENST00000216254
793,ENST00000398165
794,ENST00000406590
795,ENST00000369799
796,ENST00000234590
797,ENST00000556737
798,ENST00000409125
799,ENST00000301729
800,ENST00000397736
801,ENST00000201963
802,ENST00000437604
803,ENST00000268220
804,ENST00000360289
805,ENST00000563987
806,ENST00000409134
807,ENST00000618312
808,ENST00000372616
809,ENST00000316423
810,ENST00000376588
811,ENST00000636714
812,ENST00000367054
813,ENST00000562997
814,ENST00000412304
815,ENST00000548567
816,ENST00000396705
817,ENST00000319006
818,ENST00000273398
819,ENST00000222214
820,ENST00000395240
821,ENST00000569545
822,ENST00000505164
823,ENST00000555634
824,ENST00000343289
825,ENST00000575120
826,ENST00000514264
827,ENST00000533929
828,ENST00000351513
829,ENST00000262039
830,ENST00000613168
831,ENST00000617706
832,ENST00000382873
833,ENST00000367055
834,ENST00000624406
835,ENST00000352210
836,ENST00000396859
837,ENST00000474315
838,ENST00000434484
839,ENST00000278715
840,ENST00000378364
841,ENST00000326637
842,ENST00000361505
843,ENST00000542179
844,ENST00000511355
845,ENST00000270776
846,ENST00000300283
847,ENST00000395575
848,ENST00000306434
849,ENST00000367321
850,ENST00000301810
851,ENST00000229270
852,ENST00000449049
853,ENST00000354098
854,ENST00000434819
855,ENST00000553458
856,ENST00000637252
857,ENST00000564546
858,ENST00000460874
859,ENST00000324262
860,ENST00000520227
861,ENST00000348127
862,ENST00000565154
863,ENST00000591470
864,ENST00000455934
865,ENST00000553586
866,ENST00000176643
867,ENST00000372435
868,ENST00000426324
869,ENST00000513628
870,ENST00000507917
871,ENST00000261783
872,ENST00000607784
873,ENST00000378945
874,ENST00000513177
875,ENST00000412582
876,ENST00000279230
877,ENST00000585215
878,ENST00000375731
879,ENST00000357797
880,ENST00000570445
881,ENST00000413079
882,ENST00000253778
883,ENST00000296289
884,ENST00000398752
885,ENST00000636867
886,ENST00000507116
887,ENST00000636836
888,ENST00000266971
889,ENST00000394417
890,ENST00000456492
891,ENST00000404739
892,ENST00000546702
893,ENST00000320717
894,ENST00000521360
895,ENST00000548033
896,ENST00000629669
897,ENST00000458503
898,ENST00000168216
899,ENST00000298649
900,ENST00000396973
901,ENST00000361093
902,ENST00000519602
903,ENST00000353855
904,ENST00000543262
905,ENST00000426819
906,ENST00000441322
907,ENST00000395384
908,ENST00000264193
909,ENST00000376957
910,ENST00000347159
911,ENST00000220764
912,ENST00000373316
913,ENST00000457011
914,ENST00000562238
915,ENST00000371589
916,ENST00000378720
917,ENST00000272067
918,ENST00000451903
919,ENST00000227157
920,ENST00000354289
921,ENST00000619913
922,ENST00000398491
923,ENST00000417368
924,ENST00000426233
925,ENST00000502596
926,ENST00000316694
927,ENST00000369620
928,ENST00000564595
929,ENST00000612651
930,ENST00000370092
931,ENST00000368432
932,ENST00000627381
933,ENST00000521811
934,ENST00000532303
