,Ensembl transcript ID,SL with MS evidence
1140,ENST00000216962,c
1141,ENST00000280706,c
1142,ENST00000280704,c
1143,ENST00000555634,c
1144,ENST00000530337,c
1145,ENST00000530337,c
1146,ENST00000530337,c
1147,ENST00000474594,c
1148,ENST00000570622,c
1149,ENST00000525900,c
1150,ENST00000525900,c
1151,ENST00000525900,c
1152,ENST00000475462,c
1153,ENST00000521360,c
1154,ENST00000272067,c
1155,ENST00000272067,c
1156,ENST00000272065,c
1157,ENST00000272065,c
1158,ENST00000396705,c
1159,ENST00000617706,c
1160,ENST00000617706,c
1161,ENST00000590151,c
1162,ENST00000366647,m
1163,ENST00000409134,m
1164,ENST00000409134,m
1165,ENST00000409134,m
1166,ENST00000409134,m
1167,ENST00000409134,m
1168,ENST00000409134,c
1169,ENST00000409134,c
1170,ENST00000409134,c
1171,ENST00000409134,c
1172,ENST00000409134,c
1173,ENST00000409134,m
1174,ENST00000409134,c
1175,ENST00000409134,m
1176,ENST00000409134,c
1177,ENST00000451903,c
1178,ENST00000451903,c
1179,ENST00000451903,c
1180,ENST00000451903,c
1181,ENST00000451903,c
1182,ENST00000451903,c
1183,ENST00000556737,c
1184,ENST00000513628,c
1185,ENST00000513628,c
1186,ENST00000554279,c
1187,ENST00000554279,c
1188,ENST00000554279,c
1189,ENST00000554279,c
1190,ENST00000581672,c
1191,ENST00000301634,n
1192,ENST00000581518,c
1193,ENST00000388854,c
1194,ENST00000491493,c
1195,ENST00000496200,c
1196,ENST00000603302,m
1197,ENST00000491274,m
1198,ENST00000539945,c
1199,ENST00000621232,c
1200,ENST00000624934,c
1201,ENST00000624934,c
1202,ENST00000356487,c
1203,ENST00000356489,m
1204,ENST00000372213,n
1205,ENST00000370161,m
1206,ENST00000296412,c
1207,ENST00000296412,c
1208,ENST00000296412,c
1209,ENST00000296412,c
1210,ENST00000352480,c
1211,ENST00000526691,c
1212,ENST00000334029,c
1213,ENST00000393734,c
1214,ENST00000393734,c
1215,ENST00000393734,c
1216,ENST00000382151,c
1217,ENST00000448666,c
1218,ENST00000337130,c
1219,ENST00000558367,c
1220,ENST00000539743,c
1221,ENST00000424301,m
1222,ENST00000457836,m
1223,ENST00000629768,c
1224,ENST00000629768,c
1225,ENST00000447596,m
1226,ENST00000500692,c
1227,ENST00000503794,c
1228,ENST00000426233,c
1229,ENST00000426233,c
1230,ENST00000331200,c
1231,ENST00000635851,m
1232,ENST00000635851,m
1233,ENST00000635851,m
1234,ENST00000635851,m
1235,ENST00000635851,m
1236,ENST00000635851,c
1237,ENST00000635851,c
1238,ENST00000635851,c
1239,ENST00000635851,c
1240,ENST00000635851,c
1241,ENST00000635851,m
1242,ENST00000635851,c
1243,ENST00000635851,m
1244,ENST00000635851,c
1245,ENST00000296289,c
1246,ENST00000512737,c
1247,ENST00000297283,c
1248,ENST00000297283,c
1249,ENST00000297283,c
1250,ENST00000533929,c
1251,ENST00000282050,m
1252,ENST00000277865,m
1253,ENST00000277865,m
1254,ENST00000422447,c
1255,ENST00000548058,m
1256,ENST00000371589,c
1257,ENST00000600923,c
1258,ENST00000470772,c
1259,ENST00000440650,c
1260,ENST00000553458,m
1261,ENST00000553458,m
1262,ENST00000553458,m
1263,ENST00000553458,m
1264,ENST00000559416,c
1265,ENST00000503064,c
1266,ENST00000274562,c
1267,ENST00000415913,c
1268,ENST00000415913,c
1269,ENST00000415913,c
1270,ENST00000265641,c
1271,ENST00000253778,c
1272,ENST00000449049,c
1273,ENST00000562997,c
1274,ENST00000619601,c
1275,ENST00000264705,c
1276,ENST00000264705,c
1277,ENST00000264705,c
1278,ENST00000264705,c
1279,ENST00000264705,c
1280,ENST00000264705,c
1281,ENST00000264705,c
1282,ENST00000378697,c
1283,ENST00000290597,m
1284,ENST00000504317,c
1285,ENST00000504317,c
1286,ENST00000504317,c
1287,ENST00000504317,c
1288,ENST00000504317,c
1289,ENST00000504317,c
1290,ENST00000504317,c
1291,ENST00000504317,c
1292,ENST00000429360,m
1293,ENST00000541477,c
1294,ENST00000374855,c
1295,ENST00000493112,m
1296,ENST00000493112,m
1297,ENST00000299518,c
1298,ENST00000299518,m
1299,ENST00000562679,c
1300,ENST00000441322,m
1301,ENST00000631291,c
1302,ENST00000623063,c
1303,ENST00000623063,c
1304,ENST00000637782,m
1305,ENST00000637782,m
1306,ENST00000637782,m
1307,ENST00000637782,m
1308,ENST00000637782,m
1309,ENST00000637782,c
1310,ENST00000637782,c
1311,ENST00000637782,c
1312,ENST00000637782,c
1313,ENST00000637782,c
1314,ENST00000637782,m
1315,ENST00000637782,c
1316,ENST00000637782,m
1317,ENST00000637782,c
1318,ENST00000368467,c
1319,ENST00000413453,m
1320,ENST00000412582,c
1321,ENST00000550345,c
1322,ENST00000544387,c
1323,ENST00000544381,c
1324,ENST00000223836,c
1325,ENST00000216254,m
1326,ENST00000216254,m
1327,ENST00000216254,m
1328,ENST00000216254,c
1329,ENST00000216254,c
1330,ENST00000216254,c
1331,ENST00000338791,c
1332,ENST00000373449,c
1333,ENST00000373449,m
1334,ENST00000427365,c
1335,ENST00000318388,c
1336,ENST00000318388,c
1337,ENST00000554310,c
1338,ENST00000348706,m
1339,ENST00000553474,c
1340,ENST00000415930,c
1341,ENST00000461630,c
1342,ENST00000175506,c
1343,ENST00000175506,c
1344,ENST00000175506,c
1345,ENST00000407806,c
1346,ENST00000618024,c
1347,ENST00000618024,c
1348,ENST00000232607,c
1349,ENST00000232607,c
1350,ENST00000392414,c
1351,ENST00000320393,m
1352,ENST00000510025,c
1353,ENST00000510025,c
1354,ENST00000510025,c
1355,ENST00000510025,c
1356,ENST00000510025,c
1357,ENST00000553878,c
1358,ENST00000304808,c
1359,ENST00000304801,c
1360,ENST00000496455,c
1361,ENST00000496455,c
1362,ENST00000496455,c
1363,ENST00000319248,c
1364,ENST00000546146,c
1365,ENST00000430874,c
1366,ENST00000612683,c
1367,ENST00000612683,c
1368,ENST00000502596,m
1369,ENST00000618908,c
1370,ENST00000497492,c
1371,ENST00000375048,c
1372,ENST00000415136,c
1373,ENST00000261192,c
1374,ENST00000423867,c
1375,ENST00000423867,c
1376,ENST00000613823,c
1377,ENST00000398752,m
1378,ENST00000444450,c
1379,ENST00000615631,c
1380,ENST00000615631,c
1381,ENST00000615631,c
1382,ENST00000546702,m
1383,ENST00000359624,c
1384,ENST00000359624,c
1385,ENST00000558134,c
1386,ENST00000558134,c
1387,ENST00000558134,c
1388,ENST00000545054,c
1389,ENST00000412304,c
1390,ENST00000412304,m
1391,ENST00000618539,c
1392,ENST00000618539,c
1393,ENST00000618539,c
1394,ENST00000382927,m
1395,ENST00000382927,m
1396,ENST00000382927,c
1397,ENST00000382927,c
1398,ENST00000616752,c
1399,ENST00000395912,c
1400,ENST00000347159,c
1401,ENST00000369439,m
1402,ENST00000549022,c
1403,ENST00000561286,c
1404,ENST00000266095,c
1405,ENST00000625194,c
1406,ENST00000625194,c
1407,ENST00000261733,m
1408,ENST00000507534,c
1409,ENST00000512576,c
1410,ENST00000512576,c
1411,ENST00000591977,m
1412,ENST00000367999,c
1413,ENST00000367993,m
1414,ENST00000367993,m
1415,ENST00000548033,c
1416,ENST00000548033,m
1417,ENST00000227157,c
1418,ENST00000227157,c
1419,ENST00000449740,c
1420,ENST00000637252,c
1421,ENST00000528643,c
1422,ENST00000528643,c
1423,ENST00000528643,c
1424,ENST00000389093,c
1425,ENST00000455086,c
1426,ENST00000455086,c
1427,ENST00000455086,c
1428,ENST00000612039,c
1429,ENST00000612039,c
1430,ENST00000233072,c
1431,ENST00000545074,m
1432,ENST00000445915,c
1433,ENST00000262093,m
1434,ENST00000262890,c
1435,ENST00000262890,c
1436,ENST00000295448,c
1437,ENST00000538183,m
1438,ENST00000569616,c
1439,ENST00000210444,c
1440,ENST00000210444,c
1441,ENST00000440967,c
1442,ENST00000588991,c
1443,ENST00000636867,c
1444,ENST00000324262,c
1445,ENST00000393958,m
1446,ENST00000422745,c
1447,ENST00000422745,c
1448,ENST00000422745,c
1449,ENST00000393955,m
1450,ENST00000438166,m
1451,ENST00000479013,m
1452,ENST00000396076,c
1453,ENST00000420607,m
1454,ENST00000376279,m
1455,ENST00000513177,c
1456,ENST00000452063,c
1457,ENST00000244204,c
1458,ENST00000587994,c
1459,ENST00000318158,c
1460,ENST00000318158,c
1461,ENST00000318158,c
1462,ENST00000301522,c
1463,ENST00000557639,c
1464,ENST00000557639,c
1465,ENST00000557639,c
1466,ENST00000394109,m
1467,ENST00000264709,c
1468,ENST00000414777,c
1469,ENST00000627381,m
1470,ENST00000627381,c
1471,ENST00000507116,c
1472,ENST00000458134,c
1473,ENST00000514264,c
1474,ENST00000493987,c
1475,ENST00000563987,c
1476,ENST00000393564,c
1477,ENST00000393562,c
1478,ENST00000576145,c
1479,ENST00000421218,m
1480,ENST00000629669,c
1481,ENST00000629669,c
1482,ENST00000629669,c
1483,ENST00000629669,c
1484,ENST00000629669,c
1485,ENST00000629669,c
1486,ENST00000220584,c
1487,ENST00000220584,c
1488,ENST00000220584,c
