,Ensembl transcript ID,SL with MS evidence
264,ENST00000544105,c
265,ENST00000544105,c
266,ENST00000568883,c
267,ENST00000530076,c
268,ENST00000429642,c
269,ENST00000430249,c
270,ENST00000448642,c
271,ENST00000340802,c
272,ENST00000314666,c
273,ENST00000300283,m
274,ENST00000497289,c
275,ENST00000590862,n
276,ENST00000380241,c
277,ENST00000380241,c
278,ENST00000380241,c
279,ENST00000380241,c
280,ENST00000380241,c
281,ENST00000546283,c
282,ENST00000546283,c
283,ENST00000556689,m
284,ENST00000556689,c
285,ENST00000473466,c
286,ENST00000515320,c
287,ENST00000515320,c
288,ENST00000515320,c
289,ENST00000423725,c
290,ENST00000423725,m
291,ENST00000423725,c
292,ENST00000423725,m
293,ENST00000328111,c
294,ENST00000558472,c
295,ENST00000313468,m
296,ENST00000313468,c
297,ENST00000313468,m
298,ENST00000313468,c
299,ENST00000394434,c
300,ENST00000392379,m
301,ENST00000392378,m
302,ENST00000487300,c
303,ENST00000013034,c
304,ENST00000370841,m
305,ENST00000465632,c
306,ENST00000535366,c
307,ENST00000586425,c
308,ENST00000341695,m
309,ENST00000455976,c
310,ENST00000534285,c
311,ENST00000462138,c
312,ENST00000398158,c
313,ENST00000398158,c
314,ENST00000548345,c
315,ENST00000359172,c
316,ENST00000548274,m
317,ENST00000540367,c
318,ENST00000474701,c
319,ENST00000222214,m
320,ENST00000222214,m
321,ENST00000222214,m
322,ENST00000562168,c
323,ENST00000325234,c
324,ENST00000444946,m
325,ENST00000553117,m
326,ENST00000553117,m
327,ENST00000553117,m
328,ENST00000553117,m
329,ENST00000553117,m
330,ENST00000553117,c
331,ENST00000553117,c
332,ENST00000553117,c
333,ENST00000553117,c
334,ENST00000553117,c
335,ENST00000553117,m
336,ENST00000553117,c
337,ENST00000553117,m
338,ENST00000553117,c
339,ENST00000474765,c
340,ENST00000474765,m
341,ENST00000618312,c
342,ENST00000256216,c
343,ENST00000256216,c
344,ENST00000256216,c
345,ENST00000300738,c
